OrderDate,ReturnDate,SalesOrderNumber,CustomerKey,Customer,BusinessType,Continent,CountryName,StateCode,StateName,CityName,ProductKey,ProductName,SubcategoryName,ProductSize,ProductDetail,CategoryName,ReturnQuantity,UnitPrice,ReturnAmount
2010-12-29 00:00:00,2011-01-16 00:00:00,SO43685,458,Supplements Nurture,Supplement Store,North America,United States,FL,Florida,Destin,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,3,"419,459","1258,377"
2011-01-29 00:00:00,2011-02-14 00:00:00,SO43855,102,Brute Sports,Warehouse,North America,Canada,ON,Ontario,Toronto,338,100% Egg Protein,Egg Protein,2lbs,Banana,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-13 00:00:00,SO43855,102,Brute Sports,Warehouse,North America,Canada,ON,Ontario,Toronto,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-08 00:00:00,SO43855,102,Brute Sports,Warehouse,North America,Canada,ON,Ontario,Toronto,334,100% Egg Protein,Egg Protein,2lbs,Strawberry,Protein,1,"419,459","419,459"
2011-01-29 00:00:00,2011-02-18 00:00:00,SO43855,102,Brute Sports,Warehouse,North America,Canada,ON,Ontario,Toronto,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,1,"178,581","178,581"
2011-01-29 00:00:00,2011-02-15 00:00:00,SO43873,78,Circulate Store,Warehouse,North America,United States,CA,California,Ontario,324,Blended Protein,Blended Protein,2lbs,Chocolate,Protein,6,"419,459","2516,753"
2011-01-29 00:00:00,2011-02-08 00:00:00,SO43873,78,Circulate Store,Warehouse,North America,United States,CA,California,Ontario,310,Hydrolyzed Whey Protein,Whey Protein,5lbs,Chocolate,Protein,2,"2146,962","4293,924"
2011-01-29 00:00:00,2011-02-05 00:00:00,SO43880,336,Departpad,Warehouse,North America,Canada,QC,Quebec,Montreal,319,Hydrolyzed Whey Protein,Whey Protein,2lbs,Chocolate,Protein,2,"874,794","1749,588"
2011-01-29 00:00:00,2011-02-17 00:00:00,SO43907,342,Enhance Store,Warehouse,North America,United States,IN,Indiana,Indianapolis,212,Opti-Women Multivitamin,Vitamins,60 Capsules,NA,Vitamins,2,"20,187","40,373"
2011-01-29 00:00:00,2011-02-11 00:00:00,SO43891,29,Fit and Lift Gym Center,Gym,North America,Canada,ON,Ontario,Chalk Riber,350,Hydrolyzed Whey Protein,Whey Protein,5lbs,Caramel Ice Cream,Protein,2,"2024,994","4049,988"
2011-01-29 00:00:00,2011-02-07 00:00:00,SO43866,289,Fitness Works,Gym,North America,United States,WA,Washington,Renton,218,Gym Sports Socks,Socks,M,Black,Clothing,2,"5,700","11,400"
2011-01-29 00:00:00,2011-02-08 00:00:00,SO43866,289,Fitness Works,Gym,North America,United States,WA,Washington,Renton,344,Hydrolyzed Whey Protein,Whey Protein,5lbs,Capuccino,Protein,1,"2039,994","2039,994"
2011-01-29 00:00:00,2011-02-12 00:00:00,SO43866,289,Fitness Works,Gym,North America,United States,WA,Washington,Renton,350,Hydrolyzed Whey Protein,Whey Protein,5lbs,Caramel Ice Cream,Protein,1,"2024,994","2024,994"
2011-01-29 00:00:00,2011-02-16 00:00:00,SO43898,84,Function Warehouse,Warehouse,North America,Canada,ON,Ontario,Etobicoke,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,2,"178,581","357,162"
2011-01-29 00:00:00,2011-02-14 00:00:00,SO43861,584,Heal Sports,Warehouse,North America,United States,GA,Georgia,Savannah,215,Women Multivitamin,Vitamins,120 Capsules,NA,Vitamins,3,"20,187","60,560"
2011-01-29 00:00:00,2011-02-15 00:00:00,SO43867,145,Heart Sports,Warehouse,North America,United States,WA,Washington,Redmond,296,STEAK in Powder,Beef Protein,4lbs,Vanilla,Protein,2,"714,704","1429,409"
2011-01-29 00:00:00,2011-02-10 00:00:00,SO43894,559,Iron Tribe Fitness,Gym,North America,United States,WY,Wyoming,Cheyenne,219,Gym Sports Socks,Socks,L,Black,Clothing,3,"5,700","17,100"
2011-01-29 00:00:00,2011-02-19 00:00:00,SO43883,684,Knight Store,Warehouse,North America,United States,CT,Connecticut,Milford,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,3,"178,581","535,742"
2011-01-29 00:00:00,2011-02-11 00:00:00,SO43888,136,Mindful Sports,Warehouse,North America,Canada,AB,Alberta,Calgary,315,Hydrolyzed Whey Protein,Whey Protein,2lbs,Vanilla,Protein,5,"874,794","4373,970"
2011-01-29 00:00:00,2011-02-14 00:00:00,SO43905,612,Monster BodyBuild,Supplement Store,North America,United States,FL,Florida,Hollywood,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,1,"419,459","419,459"
2011-01-29 00:00:00,2011-02-15 00:00:00,SO43905,612,Monster BodyBuild,Supplement Store,North America,United States,FL,Florida,Hollywood,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,1,"419,459","419,459"
2011-01-29 00:00:00,2011-02-16 00:00:00,SO43905,612,Monster BodyBuild,Supplement Store,North America,United States,FL,Florida,Hollywood,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,1,"178,581","178,581"
2011-01-29 00:00:00,2011-02-07 00:00:00,SO43857,533,Monster Movement,Supplement Store,North America,Canada,QC,Quebec,Sillery,326,Blended Protein,Blended Protein,2lbs,Peanut Butter,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-06 00:00:00,SO43845,206,Monster Planned,Supplement Store,North America,United States,NC,North Carolina,Winston-Salem,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-07 00:00:00,SO43845,206,Monster Planned,Supplement Store,North America,United States,NC,North Carolina,Winston-Salem,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-12 00:00:00,SO43845,206,Monster Planned,Supplement Store,North America,United States,NC,North Carolina,Winston-Salem,324,Blended Protein,Blended Protein,2lbs,Chocolate,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-10 00:00:00,SO43846,318,Monster Steel,Supplement Store,North America,Canada,BC,British Columbia,Victoria,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,1,"178,581","178,581"
2011-01-29 00:00:00,2011-02-07 00:00:00,SO43901,385,Monster Superior,Supplement Store,North America,United States,CA,California,Gilroy,232,Long-Sleeve Logo Jersey,Jerseys,L,Red,Clothing,6,"28,840","173,042"
2011-01-29 00:00:00,2011-02-05 00:00:00,SO43876,270,Nutrition Bigger,Supplement Store,North America,United States,OH,Ohio,North Randall,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,3,"419,459","1258,377"
2011-01-29 00:00:00,2011-02-18 00:00:00,SO43897,312,Nutrition Life,Supplement Store,North America,United States,CA,California,Culver City,344,Hydrolyzed Whey Protein,Whey Protein,5lbs,Capuccino,Protein,6,"2039,994","12239,964"
2011-01-29 00:00:00,2011-02-09 00:00:00,SO43865,328,Nutrition Strong,Supplement Store,North America,United States,TX,Texas,San Antonio,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-18 00:00:00,SO43865,328,Nutrition Strong,Supplement Store,North America,United States,TX,Texas,San Antonio,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,3,"419,459","1258,377"
2011-01-29 00:00:00,2011-02-18 00:00:00,SO43865,328,Nutrition Strong,Supplement Store,North America,United States,TX,Texas,San Antonio,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,1,"178,581","178,581"
2011-01-29 00:00:00,2011-02-18 00:00:00,SO43899,364,Nutrition Way,Supplement Store,North America,United States,MO,Missouri,Ferguson,316,Hydrolyzed Whey Protein,Whey Protein,2lbs,Peanut Butter,Protein,2,"874,794","1749,588"
2011-01-29 00:00:00,2011-02-18 00:00:00,SO43916,348,Science Warehouse,Warehouse,North America,United States,CO,Colorado,Loveland,215,Women Multivitamin,Vitamins,120 Capsules,NA,Vitamins,2,"20,187","40,373"
2011-01-29 00:00:00,2011-02-15 00:00:00,SO43862,99,Sense Warehouse,Warehouse,North America,United States,FL,Florida,Sarasota,347,Hydrolyzed Whey Protein,Whey Protein,5lbs,Banana,Protein,2,"2039,994","4079,988"
2011-01-29 00:00:00,2011-02-16 00:00:00,SO43879,569,Sportsman Department,Warehouse,North America,Canada,ON,Ontario,Nepean,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,3,"178,581","535,742"
2011-01-29 00:00:00,2011-02-17 00:00:00,SO43875,278,Storeadri,Warehouse,North America,United States,FL,Florida,Orlando,344,Hydrolyzed Whey Protein,Whey Protein,5lbs,Capuccino,Protein,6,"2039,994","12239,964"
2011-01-29 00:00:00,2011-02-19 00:00:00,SO43884,623,Storenest,Warehouse,North America,United States,MN,Minnesota,Minneapolis,223,Men's 3/4 Leggings,Vests,M,Black,Clothing,8,"5,187","41,492"
2011-01-29 00:00:00,2011-02-07 00:00:00,SO43904,255,Supplements Bigger,Supplement Store,North America,United States,TX,Texas,Houston,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,4,"419,459","1677,836"
2011-01-29 00:00:00,2011-02-10 00:00:00,SO43917,218,Supplements Jog,Supplement Store,North America,United States,WA,Washington,Longview,315,Hydrolyzed Whey Protein,Whey Protein,2lbs,Vanilla,Protein,5,"874,794","4373,970"
2011-01-29 00:00:00,2011-02-10 00:00:00,SO43851,558,Supplements Marvel,Supplement Store,North America,United States,NH,New Hampshire,Tilton,342,Hydrolyzed Whey Protein,Whey Protein,1lbs,Banana,Protein,3,"419,459","1258,377"
2011-01-29 00:00:00,2011-02-07 00:00:00,SO43912,403,Supplements Viva,Supplement Store,North America,United States,CA,California,Lake Elsinore,342,Hydrolyzed Whey Protein,Whey Protein,1lbs,Banana,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-19 00:00:00,SO43870,107,Through Christ Fit,Gym,North America,United States,MA,Massachusetts,Randolph,322,Blended Protein,Blended Protein,2lbs,Vanilla,Protein,3,"419,459","1258,377"
2011-01-29 00:00:00,2011-02-10 00:00:00,SO43910,45,Warehouseverse,Warehouse,North America,United States,TN,Tennessee,La Vergne,330,Blended Protein,Blended Protein,2lbs,Coconut,Protein,2,"419,459","838,918"
2011-01-29 00:00:00,2011-02-07 00:00:00,SO43886,317,Workout Sports,Warehouse,North America,Canada,BC,British Columbia,Burnaby,338,100% Egg Protein,Egg Protein,2lbs,Banana,Protein,1,"419,459","419,459"
2011-01-29 00:00:00,2011-02-05 00:00:00,SO43886,317,Workout Sports,Warehouse,North America,Canada,BC,British Columbia,Burnaby,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,1,"419,459","419,459"
2011-01-29 00:00:00,2011-02-05 00:00:00,SO43886,317,Workout Sports,Warehouse,North America,Canada,BC,British Columbia,Burnaby,334,100% Egg Protein,Egg Protein,2lbs,Strawberry,Protein,1,"419,459","419,459"
2011-03-01 00:00:00,2011-03-19 00:00:00,SO44100,293,Brawn Department,Warehouse,North America,United States,UT,Utah,Park City,296,STEAK in Powder,Beef Protein,4lbs,Vanilla,Protein,2,"714,704","1429,409"
2011-03-01 00:00:00,2011-03-16 00:00:00,SO44115,366,Ensure Sports,Warehouse,North America,United States,CA,California,City Of Commerce,348,Isolate Whey Protein,Whey Protein,5lbs,Peanut Butter,Protein,3,"2024,994","6074,982"
2011-03-01 00:00:00,2011-03-10 00:00:00,SO44129,54,Factory Store,Warehouse,North America,United States,NY,New York,Melville,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,5,"419,459","2097,295"
2011-03-01 00:00:00,2011-03-14 00:00:00,SO44105,453,Fit Pro West,Gym,North America,United States,WI,Wisconsin,Milwaukee,219,Gym Sports Socks,Socks,L,Black,Clothing,2,"5,700","11,400"
2011-03-01 00:00:00,2011-03-12 00:00:00,SO44086,678,Haven Sports,Warehouse,North America,Canada,ON,Ontario,Toronto,351,Isolate Whey Protein,Whey Protein,5lbs,Cookies,Protein,4,"2024,994","8099,976"
2011-03-01 00:00:00,2011-03-12 00:00:00,SO44090,417,Knight Sports,Warehouse,North America,United States,TX,Texas,San Antonio,220,Platinum Multivitamin For Her,Vitamins,90 Tablets,NA,Vitamins,2,"20,187","40,373"
2011-03-01 00:00:00,2011-03-08 00:00:00,SO44109,91,Nutrition Anatomy,Supplement Store,North America,United States,OR,Oregon,Beaverton,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,2,"419,459","838,918"
2011-03-01 00:00:00,2011-03-17 00:00:00,SO44085,155,Nutrition Bigger,Supplement Store,North America,Canada,ON,Ontario,Toronto,338,100% Egg Protein,Egg Protein,2lbs,Banana,Protein,1,"419,459","419,459"
2011-03-01 00:00:00,2011-03-19 00:00:00,SO44085,155,Nutrition Bigger,Supplement Store,North America,Canada,ON,Ontario,Toronto,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,3,"419,459","1258,377"
2011-03-01 00:00:00,2011-03-20 00:00:00,SO44085,155,Nutrition Bigger,Supplement Store,North America,Canada,ON,Ontario,Toronto,334,100% Egg Protein,Egg Protein,2lbs,Strawberry,Protein,1,"419,459","419,459"
2011-03-01 00:00:00,2011-03-15 00:00:00,SO44085,155,Nutrition Bigger,Supplement Store,North America,Canada,ON,Ontario,Toronto,223,Men's 3/4 Leggings,Vests,M,Black,Clothing,2,"5,187","10,373"
2011-03-01 00:00:00,2011-03-13 00:00:00,SO44085,155,Nutrition Bigger,Supplement Store,North America,Canada,ON,Ontario,Toronto,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,1,"178,581","178,581"
2011-03-01 00:00:00,2011-03-10 00:00:00,SO44128,279,Nutrition Interval,Supplement Store,North America,United States,TN,Tennessee,Memphis,345,Hydrolyzed Whey Protein,Whey Protein,5lbs,Strawberry,Protein,2,"2039,994","4079,988"
2011-03-01 00:00:00,2011-03-14 00:00:00,SO44097,418,Nutrition Science,Supplement Store,North America,United States,WI,Wisconsin,Racine,319,Hydrolyzed Whey Protein,Whey Protein,2lbs,Chocolate,Protein,2,"874,794","1749,588"
2011-03-01 00:00:00,2011-03-11 00:00:00,SO44117,143,Nutrition Workout,Supplement Store,North America,United States,CT,Connecticut,East Haven,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,2,"178,581","357,162"
2011-03-01 00:00:00,2011-03-17 00:00:00,SO44079,57,Optimum Store,Warehouse,North America,United States,IL,Illinois,West Chicago,316,Hydrolyzed Whey Protein,Whey Protein,2lbs,Peanut Butter,Protein,3,"874,794","2624,382"
2011-03-01 00:00:00,2011-03-20 00:00:00,SO44079,57,Optimum Store,Warehouse,North America,United States,IL,Illinois,West Chicago,223,Men's 3/4 Leggings,Vests,M,Black,Clothing,4,"5,187","20,746"
2011-03-01 00:00:00,2011-03-15 00:00:00,SO44127,608,Rediscover Store,Warehouse,North America,United States,CA,California,La Mesa,232,Long-Sleeve Logo Jersey,Jerseys,L,Red,Clothing,2,"28,840","57,681"
2011-03-01 00:00:00,2011-03-08 00:00:00,SO44093,93,Shield Department,Warehouse,North America,United States,TX,Texas,Round Rock,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,2,"419,459","838,918"
2011-03-01 00:00:00,2011-03-19 00:00:00,SO44124,3,Storeify,Warehouse,North America,United States,TX,Texas,Irving,330,Blended Protein,Blended Protein,2lbs,Coconut,Protein,2,"419,459","838,918"
2011-03-01 00:00:00,2011-03-12 00:00:00,SO44120,75,Storeworks,Warehouse,North America,United States,TX,Texas,Garland,304,STEAK in Powder,Beef Protein,4lbs,Banana,Protein,3,"714,704","2144,113"
2011-03-01 00:00:00,2011-03-21 00:00:00,SO44131,576,Supplements Fresh,Supplement Store,North America,United States,OH,Ohio,Mansfield,349,Isolate Whey Protein,Whey Protein,5lbs,Coconut,Protein,3,"2024,994","6074,982"
2011-03-01 00:00:00,2011-03-08 00:00:00,SO44106,116,Supplements Wellness,Supplement Store,North America,United States,GA,Georgia,Atlanta,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,1,"419,459","419,459"
2011-03-01 00:00:00,2011-03-17 00:00:00,SO44126,20,The Edge Rock Gym,Gym,North America,United States,WA,Washington,Kent,219,Gym Sports Socks,Socks,L,Black,Clothing,3,"5,700","17,100"
2011-03-01 00:00:00,2011-03-11 00:00:00,SO44126,20,The Edge Rock Gym,Gym,North America,United States,WA,Washington,Kent,218,Gym Sports Socks,Socks,M,Black,Clothing,2,"5,700","11,400"
2011-03-01 00:00:00,2011-03-19 00:00:00,SO44126,20,The Edge Rock Gym,Gym,North America,United States,WA,Washington,Kent,344,Hydrolyzed Whey Protein,Whey Protein,5lbs,Capuccino,Protein,1,"2039,994","2039,994"
2011-03-01 00:00:00,2011-03-17 00:00:00,SO44126,20,The Edge Rock Gym,Gym,North America,United States,WA,Washington,Kent,350,Hydrolyzed Whey Protein,Whey Protein,5lbs,Caramel Ice Cream,Protein,2,"2024,994","4049,988"
2011-03-01 00:00:00,2011-03-16 00:00:00,SO44126,20,The Edge Rock Gym,Gym,North America,United States,WA,Washington,Kent,345,Hydrolyzed Whey Protein,Whey Protein,5lbs,Strawberry,Protein,2,"2039,994","4079,988"
2011-03-01 00:00:00,2011-03-15 00:00:00,SO44126,20,The Edge Rock Gym,Gym,North America,United States,WA,Washington,Kent,346,Isolate Whey Protein,Whey Protein,5lbs,Chocolate,Protein,1,"2039,994","2039,994"
2011-03-01 00:00:00,2011-03-21 00:00:00,SO44126,20,The Edge Rock Gym,Gym,North America,United States,WA,Washington,Kent,349,Isolate Whey Protein,Whey Protein,5lbs,Coconut,Protein,1,"2024,994","2024,994"
2011-03-01 00:00:00,2011-03-17 00:00:00,SO44111,460,Warehouseish,Warehouse,North America,Canada,QC,Quebec,Brossard,235,Long-Sleeve Logo Jersey,Jerseys,XL,Red,Clothing,2,"28,840","57,681"
2011-03-01 00:00:00,2011-03-16 00:00:00,SO44113,187,Wellness Warehouse,Warehouse,North America,United States,CA,California,Cerritos,220,Platinum Multivitamin For Her,Vitamins,90 Tablets,NA,Vitamins,2,"20,187","40,373"
2011-03-31 00:00:00,2011-04-17 00:00:00,SO44283,227,Afterburner Store,Warehouse,North America,Canada,ON,Ontario,Toronto,276,PRO Weight Gainer,Gainer,5lbs,Banana,Carbs,2,"356,898","713,796"
2011-03-31 00:00:00,2011-04-15 00:00:00,SO44317,221,Bro Warehouse,Warehouse,North America,United States,NM,New Mexico,Las Cruces,310,Hydrolyzed Whey Protein,Whey Protein,5lbs,Chocolate,Protein,2,"2146,962","4293,924"
2011-03-31 00:00:00,2011-04-20 00:00:00,SO44295,83,Center Fitness,Gym,North America,Canada,ON,Ontario,Ottawa,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,3,"419,459","1258,377"
2011-03-31 00:00:00,2011-04-21 00:00:00,SO44306,423,Endure Warehouse,Warehouse,North America,United States,MS,Mississippi,Biloxi,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,6,"419,459","2516,753"
2011-03-31 00:00:00,2011-04-11 00:00:00,SO44306,423,Endure Warehouse,Warehouse,North America,United States,MS,Mississippi,Biloxi,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,4,"419,459","1677,836"
2011-03-31 00:00:00,2011-04-13 00:00:00,SO44306,423,Endure Warehouse,Warehouse,North America,United States,MS,Mississippi,Biloxi,334,100% Egg Protein,Egg Protein,2lbs,Strawberry,Protein,1,"419,459","419,459"
2011-03-31 00:00:00,2011-04-17 00:00:00,SO44306,423,Endure Warehouse,Warehouse,North America,United States,MS,Mississippi,Biloxi,326,Blended Protein,Blended Protein,2lbs,Peanut Butter,Protein,3,"419,459","1258,377"
2011-03-31 00:00:00,2011-04-14 00:00:00,SO44306,423,Endure Warehouse,Warehouse,North America,United States,MS,Mississippi,Biloxi,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,1,"178,581","178,581"
2011-03-31 00:00:00,2011-04-13 00:00:00,SO44316,431,Fitness Essentials,Gym,North America,United States,MI,Michigan,Holland,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,2,"419,459","838,918"
2011-03-31 00:00:00,2011-04-08 00:00:00,SO44316,431,Fitness Essentials,Gym,North America,United States,MI,Michigan,Holland,332,100% Egg Protein,Egg Protein,2lbs,Cookies,Protein,1,"419,459","419,459"
2011-03-31 00:00:00,2011-04-14 00:00:00,SO44316,431,Fitness Essentials,Gym,North America,United States,MI,Michigan,Holland,223,Men's 3/4 Leggings,Vests,M,Black,Clothing,2,"5,187","10,373"
2011-03-31 00:00:00,2011-04-15 00:00:00,SO44315,292,Fuel House,Gym,North America,United States,TX,Texas,Houston,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,2,"419,459","838,918"
2011-03-31 00:00:00,2011-04-12 00:00:00,SO44282,442,Genius Warehouse,Warehouse,North America,Canada,ON,Ontario,Toronto,215,Women Multivitamin,Vitamins,120 Capsules,NA,Vitamins,3,"20,187","60,560"
2011-03-31 00:00:00,2011-04-10 00:00:00,SO44286,511,Happy Department,Warehouse,North America,United States,CA,California,San Mateo,338,100% Egg Protein,Egg Protein,2lbs,Banana,Protein,2,"419,459","838,918"
2011-03-31 00:00:00,2011-04-13 00:00:00,SO44286,511,Happy Department,Warehouse,North America,United States,CA,California,San Mateo,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,1,"419,459","419,459"
2011-03-31 00:00:00,2011-04-07 00:00:00,SO44286,511,Happy Department,Warehouse,North America,United States,CA,California,San Mateo,334,100% Egg Protein,Egg Protein,2lbs,Strawberry,Protein,2,"419,459","838,918"
2011-03-31 00:00:00,2011-04-21 00:00:00,SO44300,480,Helios Fitness Centre,Gym,North America,Canada,ON,Ontario,Mississauga,232,Long-Sleeve Logo Jersey,Jerseys,L,Red,Clothing,2,"28,840","57,681"
2011-03-31 00:00:00,2011-04-16 00:00:00,SO44288,514,Helios Warehouse,Warehouse,North America,Canada,BC,British Columbia,Richmond,316,Hydrolyzed Whey Protein,Whey Protein,2lbs,Peanut Butter,Protein,3,"874,794","2624,382"
2011-03-31 00:00:00,2011-04-08 00:00:00,SO44288,514,Helios Warehouse,Warehouse,North America,Canada,BC,British Columbia,Richmond,212,Opti-Women Multivitamin,Vitamins,60 Capsules,NA,Vitamins,3,"20,187","60,560"
2011-03-31 00:00:00,2011-04-14 00:00:00,SO44314,166,Mindful Department,Warehouse,North America,United States,TX,Texas,Garland,322,Blended Protein,Blended Protein,2lbs,Vanilla,Protein,3,"419,459","1258,377"
2011-03-31 00:00:00,2011-04-20 00:00:00,SO44309,549,Monster Potential,Supplement Store,North America,United States,FL,Florida,Clearwater,338,100% Egg Protein,Egg Protein,2lbs,Banana,Protein,3,"419,459","1258,377"
2011-03-31 00:00:00,2011-04-15 00:00:00,SO44293,618,Nutrition A+,Supplement Store,North America,United States,NH,New Hampshire,Plaistow,336,100% Egg Protein,Egg Protein,2lbs,Vanilla,Protein,4,"419,459","1677,836"
